date,symbol,action,score,price,pe_ratio,roe,debt_to_equity,reason,rank,sector
2025-10-30 12:48:24.575961,UJJIVANSFB,INCREASE POSITION,70.93750791449341,52.76,24.654203,6.832000000000001,0.0,🟢 STRONG BUY (UNDERVALUED) (DIVERSIFIES),0,Financial Services
2025-10-30 12:48:24.580038,IDBI,INCREASE POSITION,92.53824223268089,99.35,11.498842,15.128,0.0,🟢 STRONG BUY (UNDERVALUED) (DIVERSIFIES),0,Financial Services
2025-10-30 12:48:24.583557,SBIN,BOOK 30% PROFITS,89.03196960072117,940.75,10.571413,16.584,0.0,🟢 STRONG BUY (UNDERVALUED) (DIVERSIFIES),0,Financial Services
2025-10-30 12:48:24.586863,INDIANB,INCREASE POSITION,87.63449363918973,853.0,10.186291,15.754,0.0,🟢 STRONG BUY (UNDERVALUED) (DIVERSIFIES),0,Financial Services
2025-10-30 12:48:24.590117,CUB,INCREASE POSITION,87.76407143400422,234.53,15.005118,13.041,0.0,🟢 STRONG BUY (UNDERVALUED) (DIVERSIFIES),0,Financial Services
2025-10-30 12:48:24.593298,AXISBANK,INCREASE POSITION,75.4598130172474,1244.8,14.922082,14.004,0.0,🟢 STRONG BUY (UNDERVALUED) (DIVERSIFIES),0,Financial Services
2025-10-30 12:48:24.597542,ICICIGI,INCREASE POSITION,71.18109620001607,2013.4,35.934322,17.802,0.0,🟢 STRONG BUY (DIVERSIFIES),0,Financial Services
2025-10-30 12:48:24.601249,KARURVYSYA,INCREASE POSITION,89.24971904129845,248.33,11.401745,17.764,0.0,🟢 STRONG BUY (UNDERVALUED) (DIVERSIFIES),0,Financial Services
2025-10-30 12:48:24.604558,FEDERALBNK,BOOK 30% PROFITS,81.24831514836939,234.66,14.691922,11.451,0.0,🟢 STRONG BUY (UNDERVALUED) (DIVERSIFIES),0,Financial Services
2025-10-30 12:48:24.607590,HDFCBANK,BOOK 71% PROFITS,82.70123230663982,1001.55,22.897804,10.8430006,0.0,🟢 STRONG BUY (UNDERVALUED) (DIVERSIFIES),0,Financial Services
2025-10-30 12:48:24.610557,UCOBANK,BOOK 30% PROFITS,78.94611204570506,32.6,15.825242,8.405,0.0,🟢 STRONG BUY (UNDERVALUED) (DIVERSIFIES),0,Financial Services
2025-10-30 12:48:24.613802,RECLTD,INCREASE POSITION,91.66144610132744,379.1,5.790438,21.997,10.0,🟢 STRONG BUY (UNDERVALUED) (DIVERSIFIES),0,Financial Services
2025-10-30 12:48:24.617388,UNIONBANK,INCREASE POSITION,94.05729351601484,145.74,5.9123735,16.747,0.0,🟢 STRONG BUY (UNDERVALUED) (DIVERSIFIES),0,Financial Services
2025-10-30 12:48:24.620503,PNB,BOOK 30% PROFITS,85.48891614913519,120.76,8.142954,12.666,0.0,🟢 STRONG BUY (UNDERVALUED) (DIVERSIFIES),0,Financial Services
2025-10-30 12:48:24.623459,MAHABANK,INCREASE POSITION,90.84563215050314,58.87,7.4237075,22.427,0.0,🟢 STRONG BUY (UNDERVALUED) (DIVERSIFIES),0,Financial Services
2025-10-30 12:48:24.626436,CANBK,BOOK 30% PROFITS,89.65134503630084,131.3,6.4357843,16.364,0.0,🟢 STRONG BUY (UNDERVALUED) (DIVERSIFIES),0,Financial Services
2025-10-30 12:48:24.629400,CENTRALBK,BOOK 30% PROFITS,94.68137178266672,39.64,7.682171,12.716,0.0,🟢 STRONG BUY (UNDERVALUED) (DIVERSIFIES),0,Financial Services
2025-10-30 12:48:24.632881,BANKBARODA,BOOK 30% PROFITS,82.84603787804666,272.8,7.251462,13.797,0.0,🟢 STRONG BUY (UNDERVALUED) (DIVERSIFIES),0,Financial Services
2025-10-30 12:48:24.635944,BANKINDIA,BOOK 50% PROFITS,90.71559396818311,140.32,6.6219916,12.234,0.0,🟢 STRONG BUY (UNDERVALUED) (DIVERSIFIES),0,Financial Services
2025-10-30 12:48:24.639202,INDUSTOWER,INCREASE POSITION,83.28476435221468,367.3,10.363996,29.018998,10.0,🟢 STRONG BUY (UNDERVALUED) (DIVERSIFIES),0,Communication Services
2025-10-30 12:48:24.642306,GICRE,INCREASE POSITION,86.10219640386046,382.35,7.836647,9.172,0.0,🟢 STRONG BUY (UNDERVALUED) (DIVERSIFIES),0,Financial Services
2025-10-30 12:48:24.645352,BANDHANBNK,INCREASE POSITION,74.51030336774053,171.17,13.425097,0.0,0.0,🟢 STRONG BUY (UNDERVALUED) (DIVERSIFIES),0,Financial Services
2025-10-30 12:48:24.649042,ICICIBANK,INCREASE POSITION,71.77805429484052,1366.8,18.505281,17.599002,0.0,🟢 STRONG BUY (UNDERVALUED) (DIVERSIFIES),0,Financial Services
2025-10-30 12:48:24.652785,AUBANK,BOOK 30% PROFITS,65.83977721993034,878.9,30.182005,12.654000000000002,0.0,🟢 STRONG BUY (DIVERSIFIES),0,Financial Services
2025-10-30 12:48:24.655931,KOTAKBANK,INCREASE POSITION,65.14769275761557,2134.9,22.874744,11.78,0.0,🟢 STRONG BUY (UNDERVALUED) (DIVERSIFIES),0,Financial Services
2025-10-30 12:48:24.658994,NMDC,INCREASE POSITION,81.67448308794047,76.02,9.514393,23.584,10.0,🟢 BUY (VALUE) (DIVERSIFIES),0,Basic Materials
2025-10-30 12:48:24.661936,NESTLEIND,INCREASE POSITION,51.59900577058357,1277.0,83.5733,70.792,10.0,🟢 BUY (DIVERSIFIES),0,Consumer Defensive
2025-10-30 12:48:24.666110,HINDUNILVR,CONSIDER SELLING,45.335226088865134,2465.0,53.26275,21.819,3.611,🟠 WEAK SELL,0,Consumer Defensive
2025-10-30 13:06:57.696075,UJJIVANSFB,INCREASE POSITION,70.93624580339043,52.74,24.64486,6.832000000000001,0.0,🟢 STRONG BUY (UNDERVALUED) (DIVERSIFIES),0,Financial Services
2025-10-30 13:06:57.700464,IDBI,INCREASE POSITION,92.52843958208204,99.07,11.4664345,15.128,0.0,🟢 STRONG BUY (UNDERVALUED) (DIVERSIFIES),0,Financial Services
2025-10-30 13:06:57.704287,SBIN,BOOK 30% PROFITS,89.032144921692,940.8,10.571975,16.584,0.0,🟢 STRONG BUY (UNDERVALUED) (DIVERSIFIES),0,Financial Services
2025-10-30 13:06:57.707385,INDIANB,INCREASE POSITION,87.82052685650699,856.0,10.222116,15.754,0.0,🟢 STRONG BUY (UNDERVALUED) (DIVERSIFIES),0,Financial Services
2025-10-30 13:06:57.710680,CUB,INCREASE POSITION,87.76814177433599,234.97,15.033269,13.041,0.0,🟢 STRONG BUY (UNDERVALUED) (DIVERSIFIES),0,Financial Services
2025-10-30 13:06:57.714078,AXISBANK,INCREASE POSITION,75.46034409159259,1244.9,14.923281,14.004,0.0,🟢 STRONG BUY (UNDERVALUED) (DIVERSIFIES),0,Financial Services
2025-10-30 13:06:57.717876,ICICIGI,INCREASE POSITION,71.177859291145,2011.4,35.89863,17.802,0.0,🟢 STRONG BUY (DIVERSIFIES),0,Financial Services
2025-10-30 13:06:57.721610,KARURVYSYA,INCREASE POSITION,88.88675019831115,247.37,11.357667,17.764,0.0,🟢 STRONG BUY (UNDERVALUED) (DIVERSIFIES),0,Financial Services
2025-10-30 13:06:57.725427,CANBK,BOOK 30% PROFITS,93.22989308871249,133.69,6.5534315,16.364,0.0,🟢 STRONG BUY (UNDERVALUED) (DIVERSIFIES),0,Financial Services
2025-10-30 13:06:57.728852,HDFCBANK,BOOK 71% PROFITS,82.69899178713489,1001.2,22.889803,10.8430006,0.0,🟢 STRONG BUY (UNDERVALUED) (DIVERSIFIES),0,Financial Services
2025-10-30 13:06:57.732416,NMDC,INCREASE POSITION,81.6652939511299,75.95,9.505632,23.584,10.0,🟢 BUY (VALUE) (DIVERSIFIES),0,Basic Materials
2025-10-30 13:06:57.736498,FEDERALBNK,BOOK 30% PROFITS,81.25329196721121,235.35,14.737007,11.451,0.0,🟢 STRONG BUY (UNDERVALUED) (DIVERSIFIES),0,Financial Services
2025-10-30 13:06:57.739826,UCOBANK,BOOK 30% PROFITS,78.9570652457974,32.71,15.878641,8.405,0.0,🟢 STRONG BUY (UNDERVALUED) (DIVERSIFIES),0,Financial Services
2025-10-30 13:06:57.743133,RECLTD,INCREASE POSITION,91.66144610132744,378.85,5.7866197,21.997,10.0,🟢 STRONG BUY (UNDERVALUED) (DIVERSIFIES),0,Financial Services
2025-10-30 13:06:57.746687,UNIONBANK,INCREASE POSITION,94.07957493081942,146.74,5.9529414,16.747,0.0,🟢 STRONG BUY (UNDERVALUED) (DIVERSIFIES),0,Financial Services
2025-10-30 13:06:57.750266,PNB,BOOK 30% PROFITS,85.51300801172277,121.65,8.202967,12.666,0.0,🟢 STRONG BUY (UNDERVALUED) (DIVERSIFIES),0,Financial Services
2025-10-30 13:06:57.755118,MAHABANK,INCREASE POSITION,90.85999180295164,59.0,7.440101,22.427,0.0,🟢 STRONG BUY (UNDERVALUED) (DIVERSIFIES),0,Financial Services
2025-10-30 13:06:57.759044,BANKBARODA,BOOK 30% PROFITS,85.41544015603137,274.15,7.2873473,13.797,0.0,🟢 STRONG BUY (UNDERVALUED) (DIVERSIFIES),0,Financial Services
2025-10-30 13:06:57.762708,CENTRALBK,BOOK 30% PROFITS,94.68625918791707,39.7,7.693799,12.716,0.0,🟢 STRONG BUY (UNDERVALUED) (DIVERSIFIES),0,Financial Services
